scenario,model,instance,sample,elapsed_ms,rss_kb
first-use-short-v2,parakeet-tdt-0.6b-v2,7,3,395.877,107408
first-use-short-v2,parakeet-tdt-0.6b-v2,7,4,524.649,124176
first-use-short-v2,parakeet-tdt-0.6b-v2,7,5,647.128,150688
first-use-short-v2,parakeet-tdt-0.6b-v2,7,6,773.845,170192
first-use-short-v2,parakeet-tdt-0.6b-v2,7,7,901.049,170192
first-use-short-v2,parakeet-tdt-0.6b-v2,7,8,1027.690,170192
first-use-short-v2,parakeet-tdt-0.6b-v2,7,9,1155.814,170192
first-use-short-v2,parakeet-tdt-0.6b-v2,7,10,1281.423,170192
first-use-short-v2,parakeet-tdt-0.6b-v2,7,11,1404.264,170192
first-use-short-v2,parakeet-tdt-0.6b-v2,7,12,1534.193,170192
first-use-short-v2,parakeet-tdt-0.6b-v2,7,13,1657.872,170192
first-use-short-v2,parakeet-tdt-0.6b-v2,7,14,1789.614,170176
first-use-short-v2,parakeet-tdt-0.6b-v2,7,15,1933.044,170176
first-use-short-v2,parakeet-tdt-0.6b-v2,7,16,2061.799,170176
first-use-short-v2,parakeet-tdt-0.6b-v2,7,17,2198.192,170128
first-use-short-v2,parakeet-tdt-0.6b-v2,7,18,2332.796,170128
first-use-short-v2,parakeet-tdt-0.6b-v2,7,19,2466.496,170128
first-use-short-v2,parakeet-tdt-0.6b-v2,7,20,2605.350,170128
first-use-short-v2,parakeet-tdt-0.6b-v2,7,21,2738.747,170128
first-use-short-v2,parakeet-tdt-0.6b-v2,7,22,2869.405,170128
